time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-05-15T17:50:16.941Z,38.173,-117.8295,5.8,4.7,ml,15,48.44,0.365,0.1766,nn,nn00725546,2020-08-02T00:31:10.040Z,"52km WNW of Tonopah, Nevada",earthquake,,3.5,0.28,7,reviewed,nn,nn
2020-05-15T15:23:24.676Z,38.1667,-117.8006,7.6,4.8,ml,14,46.65,0.385,0.1628,nn,nn00725454,2020-08-02T00:31:20.040Z,"50km WNW of Tonopah, Nevada",earthquake,,4.3,0.32,6,reviewed,nn,nn
2020-05-15T12:00:41.572Z,38.1667,-117.8104,6.3,4.5,ml,17,47.15,0.38,0.1735,nn,nn00725312,2020-08-02T00:31:39.040Z,"48km WNW of Tonopah, Nevada",earthquake,,2.8,0.33,9,reviewed,nn,nn
2020-05-15T11:52:07.184Z,38.1469,-117.9831,5.8,4.8,ml,17,43.51,0.316,0.1775,nn,nn00725306,2020-08-02T00:31:40.040Z,"59km WNW of Tonopah, Nevada",earthquake,,2,0.4,8,reviewed,nn,nn
2020-05-15T11:26:01.747Z,38.1811,-117.8711,6.8,5.1,ml,18,49,0.337,0.2335,nn,nn00725291,2020-08-02T00:31:42.040Z,"55km WNW of Tonopah, Nevada",earthquake,,8.6,0.42,10,reviewed,nn,nn
2020-05-15T11:18:12.392Z,38.1596,-117.9598,3.8,4.9,ml,14,47.97,0.314,0.178,nn,nn00725284,2020-08-02T00:31:44.040Z,"64km W of Tonopah, Nevada",earthquake,,4.3,0.43,6,reviewed,nn,nn
2020-05-15T11:03:27.176Z,38.1689,-117.8497,2.7,6.5,ml,27,55.79,0.357,0.2669,nn,nn00725272,2020-10-13T19:20:46.022Z,"Monte Cristo Range, NV Earthquake",earthquake,,2.1,,,reviewed,nn,nn
2020-05-10T22:07:40.370Z,33.0183333,-116.0201667,10.16,4.54,mw,141,21,0.138,0.27,ci,ci38488354,2020-10-01T02:33:59.405Z,"17km SE of Ocotillo Wells, CA",earthquake,0.14,0.48,,6,reviewed,ci,ci
2020-04-11T16:22:50.940Z,38.0421667,-118.758,8.94,4.57,mw,62,89,0.2888,0.1,nc,nc73367575,2020-06-30T14:02:57.040Z,"29km SE of Bodie, CA",earthquake,0.19,1.08,,4,reviewed,nc,nc
2020-04-11T14:36:37.040Z,38.0525,-118.7333333,8.45,5.24,mw,46,97,0.268,0.06,nc,nc73367270,2020-10-10T14:46:50.949Z,"30km SE of Bodie, CA",earthquake,0.21,1.15,,4,reviewed,nc,nc
2020-04-04T01:53:18.920Z,33.4895,-116.5063333,10.45,4.87,mw,175,23,0.07088,0.22,ci,ci39126079,2020-09-29T18:09:19.539Z,"17km ESE of Anza, CA",earthquake,0.1,0.27,,6,reviewed,ci,ci
2020-04-01T00:27:41.034Z,44.3232,-115.1673,10,4.8,mww,,39,0.935,0.81,us,us70008js1,2020-06-21T00:54:27.040Z,"72km ESE of Cascade, Idaho",earthquake,2.9,1.8,0.11,8,reviewed,us,us
2020-03-31T23:52:30.781Z,44.4646,-115.1175,12.06,6.5,mww,,31,0.885,0.66,us,us70008jr5,2020-10-14T00:02:45.617Z,"70km W of Challis, Idaho",earthquake,8.5,3.8,0.021,212,reviewed,us,us
2020-03-26T15:16:27.940Z,31.7168,-104.0419,9.51,5,mww,,25,0.218,0.64,us,us70008ggn,2020-10-08T15:26:39.200Z,"41km W of Mentone, Texas",earthquake,2.4,3.3,0.034,81,reviewed,us,us
2020-03-22T16:27:38.070Z,40.4251667,-124.827,12.4,4.78,mw,117,227,0.3769,0.16,nc,nc73357410,2020-06-06T20:54:06.040Z,"47km WNW of Petrolia, CA",earthquake,0.36,0.49,,7,reviewed,nc,nc
2020-03-21T01:33:35.369Z,39.1112,-119.7361,8.4,4.5,ml,31,28.07,0.029,0.1334,nn,nn00719663,2020-06-06T20:54:00.040Z,"6km N of Johnson Lane, Nevada",earthquake,,1.2,0.38,5,reviewed,nn,nn
2020-03-18T22:08:20.920Z,40.3475,-124.4561667,28.61,5.21,mw,34,248,0.105,0.16,nc,nc73355700,2020-10-07T22:18:35.323Z,"15km W of Petrolia, CA",earthquake,0.78,0.55,,5,reviewed,nc,nc
2020-03-18T19:12:23.610Z,40.751,-112.059,10.65,4.57,mw,39,47,0.02976,0.21,uu,uu60364832,2020-06-06T20:53:50.040Z,"5km NE of Magna, Utah",earthquake,0.32,0.53,,12,reviewed,uu,uu
2020-03-18T14:02:12.830Z,40.7605,-112.0693333,9.07,4.59,mw,21,58,0.03587,0.19,uu,uu60363822,2020-06-06T20:53:47.040Z,"4km N of Magna, Utah",earthquake,0.39,0.8,,17,reviewed,uu,uu
2020-03-18T13:09:31.530Z,40.751,-112.0783333,11.9,5.7,mw,54,50,0.04022,0.2,uu,uu60363602,2020-10-14T13:19:48.995Z,"4km NNW of Magna, Utah",earthquake,0.3,0.39,,0,reviewed,uu,uu
2020-03-07T03:52:03.180Z,31.6893333,-114.5405,9.98,5.49,mw,13,106,0.3208,0.35,ci,ci38385946,2020-09-22T23:28:42.179Z,"71km SE of Estacion Coahuila, B.C., MX",earthquake,0.78,31.61,,6,reviewed,ci,ci
2020-02-15T21:23:41.230Z,25.0563,-109.6626,10,4.6,mb,,111,1.117,0.82,us,us70007r0d,2020-05-02T22:09:55.040Z,"86km SW of Topolobampo, Mexico",earthquake,6.6,1.9,0.08,46,reviewed,us,us
2020-01-25T03:03:34.920Z,35.0975,-116.9696667,3.07,4.62,mw,46,33,0.2228,0.14,ci,ci39281440,2020-07-23T21:33:16.349Z,"23km NNE of Barstow, CA",earthquake,0.14,0.66,,6,reviewed,ci,ci
2020-01-19T19:08:42.322Z,38.0246,-97.973,5,4.5,mwr,,89,0.026,0.29,us,us60007att,2020-07-01T19:17:26.882Z,"2km W of South Hutchinson, Kansas",earthquake,1.9,1.6,0.037,71,reviewed,us,us
2019-12-12T12:25:34.101Z,30.7213,-114.3417,10,4.6,mb,,139,1.019,1.22,us,us60006qim,2020-03-04T21:26:56.040Z,"58km ESE of San Felipe, Mexico",earthquake,3.9,1.9,0.111,24,reviewed,us,us
2019-11-30T01:45:12.620Z,42.776,-124.476666666667,16.65,4.53,ml,15,142,,0.25,uw,uw61562126,2020-02-19T18:58:22.040Z,"3km NNE of Port Orford, Oregon",earthquake,0.4,0.79,0.124880414425303,10,reviewed,uw,uw
2019-10-15T19:42:30.540Z,36.6455,-121.274,10.1,4.71,mw,89,54,0.04759,0.14,nc,nc73292360,2020-09-29T22:06:48.876Z,"17km SSE of Tres Pinos, CA",earthquake,0.15,0.31,,4,reviewed,nc,nc
2019-09-10T04:25:55.631Z,39.5419,-116.5599,9.1,4.6,ml,53,67.17,0.857,0.2275,nn,nn00703188,2019-12-05T18:30:53.040Z,"44km E of Austin, Nevada",earthquake,,2.2,0.27,23,reviewed,nn,nn
2019-08-22T20:49:50.170Z,35.9076667,-117.7091667,4.87,4.89,mw,78,20,0.008028,0.2,ci,ci38996632,2020-03-09T18:26:12.119Z,"18km E of Little Lake, CA",earthquake,0.12,0.28,,6,reviewed,ci,ci
2019-07-26T00:42:47.770Z,35.9258333,-117.7068333,3.79,4.74,mw,79,23,0.05083,0.16,ci,ci38644943,2020-02-10T20:48:03.543Z,"18km E of Little Lake, CA",earthquake,0.1,0.28,,6,reviewed,ci,ci
2019-07-18T03:59:14.870Z,36.1123333,-117.8886667,2.7,4.64,mw,79,54,0.02787,0.19,ci,ci38593535,2020-04-21T17:00:59.280Z,"9km NE of Coso Junction, CA",earthquake,0.13,0.33,,6,reviewed,ci,ci
2019-07-12T13:11:38.000Z,35.6368333,-117.5861667,9.44,4.9,mw,103,16,0.02027,0.16,ci,ci38548295,2020-04-29T18:47:56.321Z,"8km ENE of Ridgecrest, CA",earthquake,0.08,0.18,,6,reviewed,ci,ci
2019-07-12T09:51:38.340Z,47.8728333333333,-122.016333333333,28.82,4.58,ml,75,37,,0.44,uw,uw61535372,2020-06-30T08:55:28.126Z,"3km WNW of Monroe, Washington",earthquake,0.53,0.88,0.175257668551533,49,reviewed,uw,uw
2019-07-11T00:14:37.320Z,36.1765,-117.8836667,0.94,4.52,mw,71,51,0.06325,0.17,ci,ci38525207,2020-03-26T21:23:05.092Z,"16km NNE of Coso Junction, CA",earthquake,0.11,0.22,,6,reviewed,ci,ci
2019-07-07T05:38:15.480Z,35.7681667,-117.5778333,10.57,4.53,mw,75,44,0.05009,0.16,ci,ci38472279,2020-08-21T21:20:44.129Z,"16km W of Searles Valley, CA",earthquake,0.13,0.27,,6,reviewed,ci,ci
2019-07-06T23:50:41.990Z,35.8235,-117.663,6.51,4.5,mw,69,28,0.05379,0.14,ci,ci38469375,2019-09-26T14:30:48.040Z,"23km N of Ridgecrest, CA",earthquake,0.11,0.3,,6,reviewed,ci,ci
2019-07-06T13:06:55.260Z,35.9283333,-117.705,2.37,4.5,mw,64,34,0.04844,0.16,ci,ci38463551,2019-09-26T14:30:42.040Z,"18km E of Little Lake, CA",earthquake,0.12,0.21,,6,reviewed,ci,ci
2019-07-06T09:28:28.980Z,35.898,-117.7271667,3.95,4.89,mw,67,37,0.0896,0.16,ci,ci38460967,2019-09-26T14:30:38.040Z,"17km ESE of Little Lake, CA",earthquake,0.13,0.38,,6,reviewed,ci,ci
2019-07-06T08:32:57.550Z,35.639,-117.4913333,3.14,4.56,mw,83,24,0.05751,0.15,ci,ci38460311,2019-09-26T14:30:37.040Z,"16km SSW of Searles Valley, CA",earthquake,0.11,0.27,,6,reviewed,ci,ci
2019-07-06T06:01:51.800Z,35.911,-117.7385,4.99,4.63,mw,67,36,0.07482,0.14,ci,ci38458679,2019-11-15T18:54:44.787Z,"15km E of Little Lake, CA",earthquake,0.09,0.4,,4,reviewed,ci,ci
2019-07-06T04:36:55.310Z,35.9,-117.7376667,1.9,4.85,mw,62,35,0.08153,0.17,ci,ci38457967,2020-03-05T21:00:31.509Z,"16km ESE of Little Lake, CA",earthquake,0.13,0.21,,5,reviewed,ci,ci
2019-07-06T04:18:55.790Z,35.9101667,-117.6848333,7.41,5.44,mw,66,37,0.07213,0.17,ci,ci38457847,2020-05-21T01:08:33.207Z,"20km E of Little Lake, CA",earthquake,0.12,0.36,,6,reviewed,ci,ci
2019-07-06T04:13:07.080Z,35.5846667,-117.6145,9.73,4.8,mlr,62,32,0.1185,0.18,ci,ci38457815,2019-11-15T18:23:14.307Z,"7km SE of Ridgecrest, CA",earthquake,0.13,0.36,0.165,229,reviewed,ci,ci
2019-07-06T04:07:04.570Z,35.5551667,-117.5215,5.5,4.68,mlr,90,24,0.05757,0.23,ci,ci38457775,2020-03-02T22:19:38.728Z,"16km ESE of Ridgecrest, CA",earthquake,0.13,0.51,0.219,249,reviewed,ci,ci
2019-07-06T03:50:59.710Z,35.9035,-117.7001667,8.26,4.97,mlr,43,38,0.05997,0.17,ci,ci38457703,2019-11-15T18:09:02.473Z,"19km E of Little Lake, CA",earthquake,0.16,0.41,0.184,246,reviewed,ci,ci
2019-07-06T03:47:53.420Z,35.9011667,-117.7495,5.04,5.5,mw,49,33,0.07334,0.16,ci,ci38457687,2020-07-09T21:44:24.632Z,"15km ESE of Little Lake, CA",earthquake,0.13,0.5,,4,reviewed,ci,ci
2019-07-06T03:29:32.080Z,35.9028333,-117.7115,3.18,4.51,mlr,27,42,0.06696,0.15,ci,ci38457583,2019-11-15T17:37:47.310Z,"18km ESE of Little Lake, CA",earthquake,0.2,0.6,0.191,15,reviewed,ci,ci
2019-07-06T03:27:11.370Z,35.5303333,-117.4313333,3.83,4.57,mlr,7,119,0.05475,0.1,ci,ci37219564,2019-09-06T17:32:11.137Z,"24km ESE of Ridgecrest, CA",earthquake,0.31,0.41,0.05,2,reviewed,ci,ci
2019-07-06T03:27:07.010Z,35.9138333,-117.7258333,8,4.5,mlr,27,56,0.07004,0.18,ci,ci37219180,2019-09-26T14:30:30.040Z,"16km E of Little Lake, CA",earthquake,0.27,0.56,0.181,20,reviewed,ci,ci
2019-07-06T03:25:27.970Z,35.8606667,-117.6708333,10.32,4.61,mlr,37,43,0.07456,0.2,ci,ci37219172,2019-09-26T14:30:25.040Z,"23km ESE of Little Lake, CA",earthquake,0.22,0.39,0.126,30,reviewed,ci,ci
2019-07-06T03:23:50.720Z,35.8031667,-117.6178333,11.44,4.84,mlr,39,54,0.02074,0.23,ci,ci37219164,2019-11-15T17:26:02.971Z,"20km WNW of Searles Valley, CA",earthquake,0.26,0.53,0.174,52,reviewed,ci,ci
2019-07-06T03:23:19.870Z,35.861,-117.6778333,6.82,4.52,mlr,13,85,0.07937,0.24,ci,ci37219468,2019-08-08T22:10:14.040Z,"22km ESE of Little Lake, CA",earthquake,0.47,1.03,0.143,6,reviewed,ci,ci
2019-07-06T03:22:48.300Z,35.891,-117.7365,9.1,4.64,mlr,29,34,0.08543,0.16,ci,ci37219156,2019-11-15T17:17:41.338Z,"16km ESE of Little Lake, CA",earthquake,0.2,0.43,0.12,21,reviewed,ci,ci
2019-07-06T03:22:35.630Z,35.6166667,-117.4301667,9.35,4.73,mlr,7,180,0.03984,0.14,ci,ci37219500,2019-08-08T22:09:44.040Z,"17km S of Searles Valley, CA",earthquake,0.66,0.69,0.035,3,reviewed,ci,ci
2019-07-06T03:22:17.100Z,35.748,-117.5456667,3.9,4.55,mlr,22,70,0.07966,0.2,ci,ci37219484,2019-08-08T22:07:42.040Z,"13km W of Searles Valley, CA",earthquake,0.28,0.72,0.199,14,reviewed,ci,ci
2019-07-06T03:22:03.570Z,35.9216667,-117.729,8.17,4.64,mlr,21,52,0.06897,0.15,ci,ci38457519,2019-11-15T17:23:05.605Z,"16km E of Little Lake, CA",earthquake,0.25,0.54,0.148,13,reviewed,ci,ci
2019-07-06T03:20:41.140Z,35.9496667,-117.7376667,9.28,4.81,mlr,13,93,0.06493,0.09,ci,ci37222196,2019-08-15T20:09:34.004Z,"15km E of Little Lake, CA",earthquake,0.23,0.45,0.162,11,reviewed,ci,ci
2019-07-06T03:19:53.040Z,35.7695,-117.5993333,8,7.1,mw,77,43,0.04616,0.22,ci,ci38457511,2020-09-27T22:11:41.562Z,"2019 Ridgecrest Earthquake Sequence",earthquake,0.19,31.61,,0,reviewed,ci,ci
2019-07-06T03:16:32.480Z,35.7253333,-117.5535,0.88,4.97,mw,83,35,0.09705,0.19,ci,ci38457487,2020-04-05T23:26:37.030Z,"14km WSW of Searles Valley, CA",earthquake,0.13,0.31,,6,reviewed,ci,ci
2019-07-05T11:07:53.040Z,35.7603333,-117.575,6.95,5.37,mw,79,43,0.05824,0.2,ci,ci38450263,2020-07-14T17:30:09.310Z,"16km W of Searles Valley, CA",earthquake,0.13,0.36,,6,reviewed,ci,ci
2019-07-04T19:21:32.090Z,35.6715,-117.4788333,5.16,4.5,mw,79,24,0.08589,0.16,ci,ci38443871,2019-09-26T14:30:12.040Z,"13km SSW of Searles Valley, CA",earthquake,0.12,0.39,,4,reviewed,ci,ci
2019-07-04T18:56:06.420Z,35.716,-117.56,1.92,4.58,mw,82,36,0.1041,0.17,ci,ci38443719,2020-05-21T01:06:05.310Z,"15km NE of Ridgecrest, CA",earthquake,0.09,0.21,,6,reviewed,ci,ci
2019-07-04T18:39:44.440Z,35.6013333,-117.597,2.81,4.59,mw,48,39,0.1109,0.14,ci,ci38443607,2020-05-21T01:04:23.535Z,"7km ESE of Ridgecrest, CA",earthquake,0.13,0.43,,4,reviewed,ci,ci
2019-07-04T17:33:49.000Z,35.7053333,-117.5038333,10.5,6.4,mw,62,47,0.1233,0.16,ci,ci38443183,2020-09-19T06:55:04.772Z,"Ridgecrest Earthquake Sequence",earthquake,0.15,0.36,,6,reviewed,ci,ci
2019-06-23T03:53:02.890Z,40.2735,-124.3003333,9.44,5.58,mw,34,159,0.03116,0.17,nc,nc73201181,2020-07-10T14:25:30.367Z,"6km SSW of Petrolia, CA",earthquake,0.34,0.21,,6,reviewed,nc,nc
2019-06-22T08:50:24.953Z,39.216,-99.4259,3,4.6,mww,,46,0.469,0.53,us,us600044l0,2020-07-10T17:29:36.529Z,"11km W of Plainville, Kansas",earthquake,3.4,2,0.052,36,reviewed,us,us
2019-04-20T14:41:49.179Z,31.3428,-115.6838,10,4.5,mww,,184,0.697,0.65,us,us700039mz,2019-06-26T20:55:01.040Z,"65km NNE of Camalu, Mexico",earthquake,2.4,2,0.069,20,reviewed,us,us
2019-04-09T18:08:46.055Z,44.6972,-112.5078,14.45,4.6,mww,,41,0.131,0.43,us,us600032fs,2019-07-14T02:17:00.728Z,"9km NE of Lima, Montana",earthquake,1.2,6.1,0.086,13,reviewed,us,us
2019-04-06T21:01:41.937Z,30.8278,-114.0297,10,5.2,mww,,131,0.736,0.64,us,us2000kbgw,2019-06-18T15:50:37.040Z,"71km SW of Puerto Penasco, Mexico",earthquake,2.5,1.8,0.039,62,reviewed,us,us
2019-01-17T12:56:37.110Z,29.6356,-114.1301,10,5.3,mww,,172,1.53,1.18,us,us2000j517,2019-04-05T21:40:59.040Z,"138km NNW of San Luis, Mexico",earthquake,4.7,1.9,0.035,78,reviewed,us,us
2019-01-15T23:30:48.660Z,37.2318,-73.0097,10,4.6,mww,,74,2.146,1.2,us,us2000j4bf,2020-09-14T14:53:07.551Z,"220km ESE of Ocean City, Maryland",earthquake,6.8,1.9,0.089,12,reviewed,us,us
2019-01-05T09:36:58.640Z,26.1622,-110.6621,10,4.5,mb,,139,1.564,1.35,us,us2000j0h7,2019-03-08T17:50:16.040Z,"70km ENE of Loreto, Mexico",earthquake,4.7,1.7,0.052,109,reviewed,us,us
2019-01-04T12:33:05.990Z,26.3588,-110.7377,10,4.9,mb,,136,1.649,0.98,us,us2000j09h,2019-03-08T17:50:15.040Z,"71km ENE of Loreto, Mexico",earthquake,5.5,1.9,0.043,169,reviewed,us,us
2018-11-19T20:18:42.510Z,32.2065,-115.2535,10.95,4.82,mw,29,149,0.2168,0.38,ci,ci38138175,2019-02-02T20:02:26.040Z,"8km WSW of Alberto Oviedo Mota, B.C., MX",earthquake,0.79,31.61,,6,reviewed,ci,ci
2018-11-09T14:33:51.830Z,25.9824,-110.4898,10,4.9,mb,,153,2.339,1.06,us,us1000hpq9,2019-01-21T16:42:57.040Z,"91km E of Loreto, Mexico",earthquake,8.2,1.9,0.048,136,reviewed,us,us
2018-07-28T02:33:49.530Z,31.3986,-114.3941,10,4.8,mww,,76,0.531,1.1,us,us2000gft1,2018-10-09T16:43:19.040Z,"63km NE of San Felipe, Mexico",earthquake,5.4,1.9,0.055,32,reviewed,us,us
2018-07-05T15:17:36.947Z,35.8945,-115.7758,8.6,4.5,ml,59,40.27,0.303,0.2678,nn,nn00642964,2019-07-05T14:26:17.112Z,"15km WNW of Sandy Valley, Nevada",earthquake,,1.3,0.33,17,reviewed,nn,nn
2018-05-06T16:47:09.220Z,27.871,-88.6778,10,4.6,mb,,71,2.684,0.77,us,us1000dzed,2019-07-18T05:24:54.376Z,"182km SSE of Buras-Triumph, Louisiana",earthquake,7.1,1.9,0.042,170,reviewed,us,us
2018-04-09T10:22:20.300Z,36.2185,-97.5735,4.935,4.6,mww,,23,,0.25,us,us2000dwui,2020-03-20T02:12:09.267Z,"26km WSW of Perry, Oklahoma",earthquake,0.9,3.2,0.059,28,reviewed,tul,us
2018-04-07T12:16:03.300Z,36.2896,-97.5166,5.791,4.6,mww,,25,,0.16,us,us2000dw0r,2020-03-20T02:10:54.307Z,"20km W of Perry, Oklahoma",earthquake,0.7,5.2,0.068,21,reviewed,tul,us
2018-04-05T19:29:16.500Z,33.8375,-119.7258333,9.87,5.29,mw,90,129,0.1747,0.31,ci,ci37908735,2020-09-21T22:50:05.267Z,"29km SW of Santa Cruz Is. (E end), CA",earthquake,0.28,31.61,,6,reviewed,ci,ci
2018-03-23T03:09:39.100Z,40.4278333,-124.5108333,25.19,4.66,mw,31,247,0.1406,0.15,nc,nc72988926,2018-06-19T01:35:48.040Z,"22km WNW of Petrolia, CA",earthquake,0.49,0.5,,4,reviewed,nc,nc
2018-03-19T23:36:41.520Z,31.0935,-114.275,10,4.8,mwr,,111,0.497,0.84,us,us1000d760,2018-07-27T03:58:26.430Z,"57km E of San Felipe, Mexico",earthquake,4.6,1.9,0.037,72,reviewed,us,us
2018-01-21T17:04:12.580Z,30.2302,-114.2468,10,4.5,mb,,197,0.958,1.25,us,us2000cm5c,2018-04-10T01:11:50.040Z,"103km SE of San Felipe, Mexico",earthquake,7,1.9,0.058,89,reviewed,us,us
2018-01-20T13:48:54.420Z,26.6362,-111.0263,10,4.5,mb,,141,1.28,1.42,us,us2000clsy,2018-04-10T01:11:48.040Z,"75km NNE of Loreto, Mexico",earthquake,5.2,1.9,0.088,38,reviewed,us,us
2018-01-19T16:48:28.010Z,26.6067,-111.1312,10,4.5,mb,,146,1.218,1.47,us,us2000cl8x,2018-04-10T01:11:47.040Z,"68km NNE of Loreto, Mexico",earthquake,7.4,1.9,0.058,87,reviewed,us,us
2018-01-19T16:17:44.720Z,26.6862,-111.0785,10,6.3,mww,,109,1.214,1.45,us,us2000cl83,2020-07-10T17:00:41.030Z,"78km NNE of Loreto, Mexico",earthquake,5.7,1.8,0.035,79,reviewed,us,us
2017-11-13T19:31:29.050Z,36.6305,-121.2443333,6.31,4.58,mw,82,55,0.05988,0.11,nc,nc72923380,2018-10-05T14:00:40.985Z,"22km NE of Gonzales, California",earthquake,0.12,0.36,,6,reviewed,nc,nc
